"Drug_name1","Drug_name2","OR","95.CI","Pvalue","ac"
"GADOBENATE DIMEGLUMINE, GADOPENTETATE DIMEGLUMINE","GADOBENATE DIMEGLUMINE",28.21,"(16.48, 52.34)","3.07e-86",362
"GADOBENATE DIMEGLUMINE, GADODIAMIDE","GADOBENATE DIMEGLUMINE",24.6,"(14.84, 43.67)","6.73e-84",362
"GADOBENATE DIMEGLUMINE, GADOTERIDOL","GADOBENATE DIMEGLUMINE",21.07,"(13.46, 34.69)","1.04e-86",362
"SIMVASTATIN, CYCLOSPORINE","CYCLOSPORINE",20.21,"(17.53, 23.29)","3.83e-293",1408
"GADOBENATE DIMEGLUMINE, GADOVERSETAMIDE","GADOBENATE DIMEGLUMINE",19.94,"(12.74, 32.79)","9.59e-83",362
"GADOBENATE DIMEGLUMINE, GADOTERIDOL","GADOTERIDOL",18.75,"(8.43, 51.7)","3.07e-30",347
"GADOPENTETATE DIMEGLUMINE, GADOTERIDOL","GADOTERIDOL",15.33,"(6.89, 42.43)","1.42e-24",347
"PAMIDRONATE, DOXORUBICIN","DOXORUBICIN",15.15,"(12.85, 17.82)","9.95e-175",825
"SIMVASTATIN, CLARITHROMYCIN","CLARITHROMYCIN",13.5,"(11.64, 15.64)","1.15e-232",1188
"GADODIAMIDE, GADOTERIDOL","GADOTERIDOL",13.19,"(6.25, 33.32)","1.20e-23",347
"ONDANSETRON, PAMIDRONATE","ONDANSETRON",13.18,"(11.42, 15.18)","8.12e-214",1350
"ZOLEDRONATE, DOXORUBICIN","DOXORUBICIN",13.1,"(11.25, 15.25)","2.75e-194",825
"ZOLEDRONATE, ENOXAPARIN","ENOXAPARIN",12.27,"(10.45, 14.37)","6.79e-161",938
"PAMIDRONATE, THALIDOMIDE","THALIDOMIDE",12.13,"(10.27, 14.32)","9.72e-167",645
"PAMIDRONATE, CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE",11.73,"(9.95, 13.8)","2.81e-135",1047
"THALIDOMIDE, FUROSEMIDE","THALIDOMIDE",11.6,"(9.71, 13.82)","7.34e-130",645
"MELPHALAN, ZOLEDRONATE","MELPHALAN",11.4,"(8.95, 14.58)","5.28e-94",325
"PAROXETINE, ZOLEDRONATE","PAROXETINE",11.11,"(9.72, 12.68)","3.12e-199",2819
"METOCLOPRAMIDE, ZOLEDRONATE","METOCLOPRAMIDE",10.67,"(9.28, 12.24)","9.14e-180",1439
"CAPECITABINE, FENTANYL","CAPECITABINE",10.53,"(8.64, 12.77)","1.70e-91",598
"OXYCODONE, DOXORUBICIN","DOXORUBICIN",10.38,"(8.76, 12.27)","1.31e-122",825
"MELPHALAN, PAMIDRONATE","MELPHALAN",10.27,"(8.12, 12.99)","9.84e-80",325
"AZITHROMYCIN, ZOLEDRONATE","AZITHROMYCIN",10.26,"(8.87, 11.85)","9.59e-183",1267
"THALIDOMIDE, ZOLEDRONATE","THALIDOMIDE",10.14,"(8.6, 11.95)","3.61e-159",645
"PAMIDRONATE, CELECOXIB","CELECOXIB",9.87,"(8.56, 11.37)","9.02e-162",2493
"ACETAMINOPHEN, THALIDOMIDE","THALIDOMIDE",9.62,"(8.1, 11.4)","7.67e-123",645
"PAMIDRONATE, ZOLPIDEM","ZOLPIDEM",9.5,"(8.4, 10.73)","2.23e-217",3296
"OXYCODONE, THALIDOMIDE","THALIDOMIDE",9.49,"(7.94, 11.32)","1.15e-108",645
"NAPROXEN, ZOLEDRONATE","NAPROXEN",9.45,"(8.15, 10.94)","3.55e-144",2071
"AMOXICILLIN, PAMIDRONATE","AMOXICILLIN",9.44,"(8.26, 10.77)","5.35e-189",1746
"ZOLEDRONATE, CAPECITABINE","CAPECITABINE",9.35,"(7.87, 11.11)","7.13e-119",598
"CHLORHEXIDINE, DEXAMETHASONE","DEXAMETHASONE",9.24,"(8, 10.65)","4.12e-147",2534
"PAMIDRONATE, WARFARIN","WARFARIN",9.15,"(8.22, 10.18)","1.25e-265",4188
"METRONIDAZOLE, ZOLEDRONATE","METRONIDAZOLE",9.06,"(7.75, 10.57)","3.26e-141",1037
"GADOTERIDOL, GADOVERSETAMIDE","GADOTERIDOL",9.01,"(5.13, 17.27)","2.63e-25",347
