"Drug_name1","Drug_name2","OR","95.CI","Pvalue","ac"
"POTASSIUM CHLORIDE, SULFAMETHOXAZOLE, TRIMETHOPRIM","POTASSIUM CHLORIDE, TRIMETHOPRIM",34.43,"(6.02, 1365.53)","9.22e-12",143
"ACETAMINOPHEN, CHLORHEXIDINE, HYDROCODONE","CHLORHEXIDINE, HYDROCODONE",23.86,"(6.37, 199.86)","5.34e-14",317
"ZOLEDRONATE, DEXAMETHASONE, FUROSEMIDE","DEXAMETHASONE, FUROSEMIDE",12.73,"(10.26, 15.84)","9.02e-141",487
"PROCHLORPERAZINE, ZOLEDRONATE, DEXAMETHASONE","PROCHLORPERAZINE, DEXAMETHASONE",12.56,"(9.86, 16.08)","2.16e-113",401
"OMEPRAZOLE, POTASSIUM, CLAVULANATE","OMEPRAZOLE, CLAVULANATE",12.1,"(4, 59.79)","3.70e-10",150
"SULFAMETHOXAZOLE, ACETAMINOPHEN, HYDROCODONE","SULFAMETHOXAZOLE, HYDROCODONE",12.01,"(3.99, 59.23)","2.36e-10",252
"LORAZEPAM, ZOLEDRONATE, DEXAMETHASONE","LORAZEPAM, DEXAMETHASONE",11.53,"(9.29, 14.34)","1.19e-130",495
"SALMETEROL, VALSARTAN, FLUTICASONE PROPIONATE","SALMETEROL, VALSARTAN",11.49,"(3.08, 96.46)","4.05e-07",138
"ZOLEDRONATE, DEXAMETHASONE, DOXORUBICIN","DEXAMETHASONE, DOXORUBICIN",11.33,"(9.08, 14.15)","1.99e-107",399
"MORPHINE, ZOLEDRONATE, DEXAMETHASONE","MORPHINE, DEXAMETHASONE",11.22,"(8.86, 14.28)","3.38e-111",434
"ZOLEDRONATE, DEXAMETHASONE, LEVOFLOXACIN","DEXAMETHASONE, LEVOFLOXACIN",11.04,"(8.32, 14.79)","6.63e-87",397
"ZOLEDRONATE, DEXAMETHASONE, GABAPENTIN","DEXAMETHASONE, GABAPENTIN",10.6,"(8.33, 13.56)","3.70e-108",501
"ACETAMINOPHEN, GUAIFENESIN, HYDROCODONE","GUAIFENESIN, HYDROCODONE",10.46,"(3.44, 51.8)","1.35e-08",190
"OXYCODONE, PROCHLORPERAZINE, ZOLEDRONATE","OXYCODONE, PROCHLORPERAZINE",10.41,"(8.37, 13)","9.76e-117",483
"PROCHLORPERAZINE, ACETAMINOPHEN, FENTANYL","PROCHLORPERAZINE, FENTANYL",10.41,"(7.19, 15.45)","7.07e-54",287
"OMEPRAZOLE, ZOLEDRONATE, DEXAMETHASONE","OMEPRAZOLE, DEXAMETHASONE",10.3,"(8.45, 12.57)","1.23e-132",539
"ZOLEDRONATE, DEXAMETHASONE, FENTANYL","DEXAMETHASONE, FENTANYL",9.68,"(7.61, 12.39)","1.04e-95",425
"ONDANSETRON, ZOLEDRONATE, DEXAMETHASONE","ONDANSETRON, DEXAMETHASONE",9.35,"(7.69, 11.35)","2.24e-107",494
"OXYCODONE, ZOLEDRONATE, DEXAMETHASONE","OXYCODONE, DEXAMETHASONE",9.25,"(7.66, 11.2)","7.33e-152",730
