"Drug_name","OR","95.CI","Pvalue","ac"
"SIMVASTATIN, CLARITHROMYCIN",21.56,"(18.98, 24.48)","0.00e+00",136860
"SIMVASTATIN, CYCLOSPORINE",17.69,"(15.57, 20.06)","3.46e-298",136860
"PAMIDRONATE, LEVOFLOXACIN",16.36,"(14.46, 18.48)","1.29e-297",136860
"AZITHROMYCIN, ZOLEDRONATE",15.86,"(13.95, 18)","7.32e-269",136860
"PAMIDRONATE, ZOLPIDEM",14.49,"(12.88, 16.27)","8.35e-298",136860
"PAMIDRONATE, GABAPENTIN",14.19,"(12.79, 15.71)","0.00e+00",136860
"ATORVASTATIN, ROSUVASTATIN",14.12,"(12.87, 15.49)","0.00e+00",136860
"ONDANSETRON, PAMIDRONATE",12.76,"(11.23, 14.47)","1.38e-229",136860
"PAMIDRONATE, HYDROCODONE",12.74,"(11.57, 14)","0.00e+00",136860
"PAMIDRONATE, CHLORHEXIDINE",12.66,"(11.06, 14.45)","6.58e-206",136860
"ZOLEDRONATE, LEVOFLOXACIN",12.61,"(11.38, 13.96)","0.00e+00",136860
"SIMVASTATIN, GEMFIBROZIL",12.48,"(11.22, 13.87)","2.53e-319",136860
"PAMIDRONATE, EPOETIN ALFA",12.45,"(11.06, 14)","3.97e-258",136860
"LORAZEPAM, PAMIDRONATE",12.3,"(11, 13.73)","3.11e-288",136860
"METRONIDAZOLE, ZOLEDRONATE",12.25,"(10.69, 14.01)","5.17e-195",136860
"ROSUVASTATIN, SIMVASTATIN",12.16,"(10.81, 13.67)","1.36e-255",136860
"AMOXICILLIN, PAMIDRONATE",12.15,"(10.76, 13.7)","1.89e-242",136860
"PAROXETINE, ZOLEDRONATE",12,"(10.56, 13.61)","1.76e-217",136860
"PAMIDRONATE, CELECOXIB",11.83,"(10.32, 13.52)","1.39e-189",136860
"ZOLEDRONATE, CEPHALEXIN",11.74,"(10.31, 13.35)","1.78e-206",136860
"ZOLEDRONATE, IRON",11.51,"(10.06, 13.14)","7.00e-190",136860
"METOPROLOL, PAMIDRONATE",11.28,"(9.92, 12.79)","2.17e-207",136860
"CHLORHEXIDINE, HYDROCODONE",11.14,"(9.76, 12.7)","1.76e-189",136860
"PAMIDRONATE, WARFARIN",11,"(9.93, 12.16)","3.60e-314",136860
"EPOETIN ALFA, GADOPENTETATE DIMEGLUMINE",10.96,"(9.59, 12.51)","1.10e-183",136860
"PRAVASTATIN, ATORVASTATIN",10.95,"(9.66, 12.38)","7.08e-210",136860
"ZOLEDRONATE, GABAPENTIN",10.92,"(10.02, 11.9)","0.00e+00",136860
"PAMIDRONATE, FUROSEMIDE",10.91,"(9.81, 12.11)","3.60e-291",136860
"OXYCODONE, CHLORHEXIDINE",10.9,"(9.6, 12.36)","1.20e-200",136860
"ZOLEDRONATE, CHLORHEXIDINE",10.86,"(9.77, 12.06)","2.42e-289",136860
"PAMIDRONATE, ESOMEPRAZOLE",10.84,"(9.42, 12.44)","2.17e-167",136860
"POTASSIUM, ZOLEDRONATE",10.82,"(9.59, 12.19)","3.16e-224",136860
"VENLAFAXINE, ZOLEDRONATE",10.76,"(9.5, 12.16)","3.50e-210",136860
"PAMIDRONATE, PROCHLORPERAZINE",10.68,"(9.28, 12.27)","9.44e-164",136860
"PAMIDRONATE, ACETAMINOPHEN",10.68,"(9.91, 11.51)","0.00e+00",136860
"ZOLEDRONATE, HYDROMORPHONE",10.33,"(9.09, 11.73)","3.93e-190",136860
"OXYCODONE, PAMIDRONATE",10.27,"(9.4, 11.22)","0.00e+00",136860
"AZITHROMYCIN, GABAPENTIN",10.2,"(8.93, 11.64)","1.09e-174",136860
"NAPROXEN, ZOLEDRONATE",10.19,"(8.86, 11.69)","8.49e-159",136860
"ZOLEDRONATE, EPOETIN ALFA",10.17,"(9.13, 11.31)","1.99e-263",136860
"ZOLEDRONATE, CLINDAMYCIN",10.15,"(8.97, 11.46)","2.93e-203",136860
"PAMIDRONATE, PANTOPRAZOLE",10.12,"(8.92, 11.46)","5.38e-194",136860
"OMEPRAZOLE, PAMIDRONATE",9.97,"(8.93, 11.12)","1.02e-247",136860
"ZOLEDRONATE, ZOLPIDEM",9.83,"(8.99, 10.75)","0.00e+00",136860
"ZOLEDRONATE, CELECOXIB",9.81,"(8.85, 10.88)","1.80e-274",136860
"CHLORHEXIDINE, DEXAMETHASONE",9.75,"(8.5, 11.16)","1.32e-158",136860
"MORPHINE, PAMIDRONATE",9.7,"(8.62, 10.89)","2.63e-215",136860
"ZOLEDRONATE, CITALOPRAM",9.69,"(8.41, 11.13)","8.62e-150",136860
"ZOLEDRONATE, IBUPROFEN",9.66,"(8.69, 10.73)","2.06e-259",136860
"ZOLEDRONATE, ENOXAPARIN",9.63,"(8.37, 11.04)","4.86e-153",136860
"TRIMETHOPRIM, ZOLEDRONATE",9.58,"(8.29, 11.03)","8.01e-143",136860
